施術,先に受けた施術,次に受ける施術,部位条件,必要な間隔,同日可否,実施順,条件・例外,医師確認,基準版,先_別名,次_別名
サーマクール→ピコフラクショナル（1064nm）,サーマクール,ピコフラクショナル（1064nm）,同部位,1週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,サーマクール・サーマ・たるみ・引き締め・リフトアップ,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡
ミラドライ→ピコフラクショナル（1064nm）,ミラドライ,ピコフラクショナル（1064nm）,不明,-（原表記）,不明,,原表は「-」ですが意味が明示されていないため、可否・間隔を断定できません,必要,20250309_秋田ver,ミラドライ・ワキガ・腋臭・多汗症・わき汗,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡
医療レーザー脱毛→ピコフラクショナル（1064nm）,医療レーザー脱毛,ピコフラクショナル（1064nm）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,脱毛・医療脱毛・レーザー脱毛・全身脱毛・顔脱毛・VIO脱毛・ひげ脱毛・メンズ脱毛,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡
タトゥー除去（刺青除去）→ピコフラクショナル（1064nm）,タトゥー除去（刺青除去）,ピコフラクショナル（1064nm）,同部位,3か月,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,タトゥー・タトゥー除去・刺青・いれずみ・入れ墨,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡
アートメイク→ピコフラクショナル（1064nm）,アートメイク,ピコフラクショナル（1064nm）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,アートメイク・眉アートメイク・リップアートメイク・タトゥーメイク,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡
ハイドラジェントル→そばかすシャワー（532レーザー）,ハイドラジェントル,そばかすシャワー（532レーザー）,面の治療との併用,初回：同日不可／2回目以降：同日可,条件付き,ハイドラを先に実施,初回は同日不可。問題がなかった場合は2回目以降で同日可,不要,20250309_秋田ver,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄,そばかすシャワー・そばかす・532・そばかす治療
ケミカルピーリング→そばかすシャワー（532レーザー）,ケミカルピーリング,そばかすシャワー（532レーザー）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ピーリング・ケミカルピーリング・サリチル酸ピーリング,そばかすシャワー・そばかす・532・そばかす治療
スマートサイドドットレーザー（2回目以降）→そばかすシャワー（532レーザー）,スマートサイドドットレーザー（2回目以降）,そばかすシャワー（532レーザー）,同部位,8週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,スマサイ・スマートサイドドット・スマートサイドドットレーザー,そばかすシャワー・そばかす・532・そばかす治療
スマートサイドドットレーザー（初回）→そばかすシャワー（532レーザー）,スマートサイドドットレーザー（初回）,そばかすシャワー（532レーザー）,同部位,8週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,スマサイ・スマサイ初回・スマートサイドドット・スマートサイドドットレーザー,そばかすシャワー・そばかす・532・そばかす治療
イボレーザー（炭酸ガス／CO2レーザー）→そばかすシャワー（532レーザー）,イボレーザー（炭酸ガス／CO2レーザー）,そばかすシャワー（532レーザー）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,CO2・CO2レーザー・炭酸ガスレーザー・イボレーザー・いぼレーザー・イボ取り,そばかすシャワー・そばかす・532・そばかす治療
シミ取りレーザー→そばかすシャワー（532レーザー）,シミ取りレーザー,そばかすシャワー（532レーザー）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,シミレーザー・シミ取り・シミ取りレーザー・シミ治療,そばかすシャワー・そばかす・532・そばかす治療
ADM治療（ピコレーザー）→そばかすシャワー（532レーザー）,ADM治療（ピコレーザー）,そばかすシャワー（532レーザー）,同部位,治療完了後 4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ADM・ADMレーザー・ピコレーザー・ピコ・あざ治療・太田母斑,そばかすシャワー・そばかす・532・そばかす治療
ADM治療（ナノレーザー・メドライトC6）→そばかすシャワー（532レーザー）,ADM治療（ナノレーザー・メドライトC6）,そばかすシャワー（532レーザー）,同部位,治療完了後 4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ADM・ADMレーザー・ナノレーザー・メドライトC6・C6・あざ治療・太田母斑,そばかすシャワー・そばかす・532・そばかす治療
レーザートーニング→そばかすシャワー（532レーザー）,レーザートーニング,そばかすシャワー（532レーザー）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,トーニング・レーザートーニング・メドライトC6・肝斑・くすみ,そばかすシャワー・そばかす・532・そばかす治療
ピコトーニング→そばかすシャワー（532レーザー）,ピコトーニング,そばかすシャワー（532レーザー）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ピコトーニング・ピコ・トーニング・肝斑・くすみ,そばかすシャワー・そばかす・532・そばかす治療
ピコフラクショナル（1064nm）→そばかすシャワー（532レーザー）,ピコフラクショナル（1064nm）,そばかすシャワー（532レーザー）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡,そばかすシャワー・そばかす・532・そばかす治療
そばかすシャワー（532レーザー）→そばかすシャワー（532レーザー）,そばかすシャワー（532レーザー）,そばかすシャワー（532レーザー）,同部位,1～3か月,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,そばかすシャワー・そばかす・532・そばかす治療,そばかすシャワー・そばかす・532・そばかす治療
そばかすスポット照射→そばかすシャワー（532レーザー）,そばかすスポット照射,そばかすシャワー（532レーザー）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,そばかすスポット・そばかす・スポット照射・シミ・そばかす治療,そばかすシャワー・そばかす・532・そばかす治療
フォトフェイシャル（光治療）→そばかすシャワー（532レーザー）,フォトフェイシャル（光治療）,そばかすシャワー（532レーザー）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,フォト・フォトフェイシャル・光治療・IPL・ステラM22,そばかすシャワー・そばかす・532・そばかす治療
赤み治療（血管腫レーザー）→そばかすシャワー（532レーザー）,赤み治療（血管腫レーザー）,そばかすシャワー（532レーザー）,同部位,治療完了後 2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,赤み治療・血管腫レーザー・赤ら顔・毛細血管拡張,そばかすシャワー・そばかす・532・そばかす治療
